"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"02/2021";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"2.750.086,29";"1.703.824,57";"1.649.688,91";"2.575.424,11";
"03/2021";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"2.619.124,07";"4.485.759,41";"3.869.094,79";"764.539,40";
"04/2021";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"2.535.190,80";"5.242.122,53";"5.567.581,86";"223.026,34";
"10/2021";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"3.399.095,76";"4.434.693,71";"4.470.387,95";"126.327,49";
"11/2021";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"5.096.331,71";"5.659.310,78";"5.308.416,79";"94.380,31";
"09/2021";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"- 5.960.078,35";"4.930.177,62";"4.987.773,88";"2.245,87";
"01/2021";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"9.223.690,94";"1.603.677,01";"467.747,80";"3.681.750,80";
"07/2021";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"2.089.633,83";"4.598.197,56";"4.786.416,25";"110.137,91";
"05/2021";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"25.026.644,17";"4.469.042,82";"4.757.022,67";"145.408,06";
"08/2021";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"12.599.519,05";"4.445.809,63";"4.484.025,74";"63.323,09";
"12/2021";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"8.330.381,09";"6.591.626,35";"6.308.257,87";"46.578,28";
"06/2021";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"1.030.839,20";"5.829.227,46";"5.601.874,56";"553.598,64";
"02/2021";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"93.596,90";"778.297,29";"777.245,62";"0,00";
"07/2021";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"983.477,60";"1.502.494,22";"1.868.780,32";"0,00";
"11/2021";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"103.424,34";"1.238.106,60";"1.055.143,08";"0,00";
"03/2021";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"252.580,62";"843.917,35";"853.766,98";"7.999,00";
"10/2021";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"1.909.509,99";"795.323,34";"792.803,76";"0,00";
"01/2021";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"2.625.648,16";"744.314,12";"282.975,67";"616.488,44";
"12/2021";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"- 630.062,53";"1.667.289,31";"1.708.530,82";"0,00";
"05/2021";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"3.646.102,38";"854.668,31";"836.307,76";"0,00";
"08/2021";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"1.619.879,14";"1.119.109,55";"1.100.164,19";"0,00";
"06/2021";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"619.054,33";"1.240.009,11";"882.631,95";"3.574,79";
"04/2021";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"1.938.272,30";"826.576,63";"830.334,83";"180.251,10";
"09/2021";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"1.133.104,98";"2.270.719,03";"2.287.204,02";"0,00";
"07/2021";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"- 107.031,40";"2.291.736,26";"2.362.414,18";"- 98.624,58";
"04/2021";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"7.029.429,17";"1.612.098,22";"1.809.089,51";"2.155.348,33";
"12/2021";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"5.178.158,77";"2.138.960,21";"1.967.747,16";"3.327.632,09";
"02/2021";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"350.354,65";"1.136.610,11";"1.075.311,59";"639.366,88";
"11/2021";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"- 43.879,94";"1.531.195,20";"1.722.134,06";"1.195.340,42";
"01/2021";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"3.193.517,20";"272.028,10";"76.216,34";"1.548.981,22";
"06/2021";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"5.842.534,84";"2.398.349,88";"2.379.977,94";"1.040.928,59";
"08/2021";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"3.457.593,24";"1.634.959,90";"1.781.826,76";"29.445,52";
"09/2021";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"- 6.907.165,02";"1.945.568,52";"1.701.518,43";"11.555,40";
"05/2021";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"6.840.610,44";"1.852.032,21";"1.629.806,17";"111.435,68";
"10/2021";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"1.966.891,82";"1.639.600,64";"1.637.512,99";"1.200.300,00";
"03/2021";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"1.981.888,74";"1.602.094,74";"1.413.761,79";"448.600,00";
"07/2021";"20000 - Presidência da República";"20101 - Presidência da República";"26.106.649,00";"79.202.744,37";"101.896.883,72";"6.932.160,74";
"03/2021";"20000 - Presidência da República";"20101 - Presidência da República";"83.115.811,53";"70.583.512,48";"70.060.044,25";"25.945.958,81";
"08/2021";"20000 - Presidência da República";"20101 - Presidência da República";"27.752.613,90";"82.262.064,47";"82.169.056,97";"2.598.853,99";
"06/2021";"20000 - Presidência da República";"20101 - Presidência da República";"175.383.951,89";"101.295.661,69";"78.657.283,92";"5.686.048,78";
"01/2021";"20000 - Presidência da República";"20101 - Presidência da República";"194.353.961,22";"63.996.212,71";"22.508.139,78";"55.673.268,62";
"04/2021";"20000 - Presidência da República";"20101 - Presidência da República";"153.935.637,09";"72.672.810,36";"72.875.297,18";"7.275.867,26";
"10/2021";"20000 - Presidência da República";"20101 - Presidência da República";"101.876.843,19";"82.602.571,64";"82.062.787,26";"3.286.228,93";
"11/2021";"20000 - Presidência da República";"20101 - Presidência da República";"18.001.600,40";"113.423.386,60";"99.563.892,48";"4.051.973,04";
"02/2021";"20000 - Presidência da República";"20101 - Presidência da República";"93.677.040,03";"68.349.304,42";"65.372.499,37";"35.557.087,11";
"09/2021";"20000 - Presidência da República";"20101 - Presidência da República";"33.496.130,48";"80.422.638,26";"79.308.780,34";"6.962.092,44";
"05/2021";"20000 - Presidência da República";"20101 - Presidência da República";"138.724.395,74";"76.764.731,89";"76.971.776,56";"8.746.621,57";
"12/2021";"20000 - Presidência da República";"20101 - Presidência da República";"22.914.001,64";"95.389.867,40";"102.565.520,56";"3.423.038,31";
