"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"07/2020";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"1.286.583,41";"5.300.757,88";"5.451.566,60";"659.819,76";
"09/2020";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"1.213.980,86";"5.850.526,26";"5.605.986,11";"4.337,67";
"05/2020";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"22.566.683,92";"5.838.597,82";"5.130.145,87";"183.597,81";
"01/2020";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"34.971.643,58";"1.673.805,69";"469.656,48";"3.927.660,20";
"04/2020";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"3.390.031,72";"4.693.056,96";"4.914.513,89";"337.635,96";
"08/2020";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"925.370,72";"3.285.676,57";"3.542.395,63";"0,00";
"03/2020";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"371.191,35";"4.744.476,85";"4.811.026,89";"644.169,78";
"10/2020";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"- 1.736.728,33";"4.834.575,66";"4.189.235,09";"0,00";
"11/2020";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"- 5.063.650,50";"4.536.107,43";"4.817.294,51";"637,68";
"12/2020";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"7.103.509,39";"8.295.304,48";"8.340.558,02";"67,09";
"06/2020";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"3.448.205,55";"7.108.964,84";"7.484.460,75";"16.271,70";
"02/2020";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"257.828,04";"2.900.580,77";"2.577.993,53";"1.328.053,68";
"05/2020";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"192.554,43";"782.558,34";"776.431,80";"6.160,74";
"10/2020";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"192.205,04";"926.544,42";"942.698,53";"0,00";
"06/2020";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"368.002,87";"1.046.236,28";"862.550,64";"1.269,54";
"07/2020";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"94.104,64";"862.154,74";"1.017.488,08";"0,00";
"08/2020";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"92.311,91";"996.756,25";"1.029.742,26";"0,00";
