"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"03/2020";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"273.825,87";"1.717.560,14";"1.701.348,84";"487,49";
"12/2020";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"- 362.456,71";"863.942,02";"968.806,44";"0,00";
"09/2020";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"188.383,32";"753.486,96";"737.882,80";"0,00";
"04/2020";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"49.704,39";"808.992,16";"842.783,72";"10.208,15";
"01/2020";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"10.685.851,46";"883.195,34";"402.974,03";"712.870,59";
"02/2020";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"778.306,11";"1.110.395,17";"1.145.270,09";"9.535,76";
"11/2020";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"187.123,31";"1.280.729,97";"1.073.844,60";"0,00";
"11/2020";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"168.659,46";"1.826.302,00";"2.034.241,00";"0,00";
"02/2020";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"553.843,83";"1.580.322,98";"1.063.586,27";"565.850,48";
"08/2020";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"302.560,06";"1.803.724,84";"1.884.416,42";"0,00";
"05/2020";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"- 106.765,53";"1.619.686,91";"1.718.670,22";"1.070.000,00";
"10/2020";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"1.118.416,75";"1.843.085,65";"1.414.472,50";"0,00";
"03/2020";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"- 288.370,00";"1.629.404,66";"1.911.028,48";"3.228.535,96";
"06/2020";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"- 60.138,13";"3.887.385,44";"3.433.367,50";"8.879,47";
"09/2020";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"430.810,87";"1.504.099,62";"1.525.586,44";"1.131.600,00";
"04/2020";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"4.203.305,48";"1.674.919,55";"1.615.656,97";"150.850,00";
"12/2020";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"11.700.880,14";"1.688.312,54";"1.720.855,66";"0,00";
"01/2020";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"14.986.760,03";"320.666,18";"106.814,84";"1.738.647,51";
"07/2020";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"2.264.699,24";"1.514.833,44";"2.081.951,29";"65.879,42";
"09/2020";"20000 - Presidência da República";"20101 - Presidência da República";"57.774.620,05";"86.271.280,04";"85.300.242,68";"1.790.273,76";
"01/2020";"20000 - Presidência da República";"20101 - Presidência da República";"806.297.469,89";"66.582.188,33";"23.247.279,64";"70.068.616,98";
"02/2020";"20000 - Presidência da República";"20101 - Presidência da República";"30.247.998,16";"75.378.620,44";"71.435.744,36";"29.850.580,90";
"06/2020";"20000 - Presidência da República";"20101 - Presidência da República";"62.958.128,62";"95.112.791,78";"75.144.167,34";"24.086.518,91";
"07/2020";"20000 - Presidência da República";"20101 - Presidência da República";"39.529.891,57";"81.084.987,90";"98.801.728,79";"15.511.214,68";
"10/2020";"20000 - Presidência da República";"20101 - Presidência da República";"76.624.696,53";"78.664.980,55";"79.632.941,97";"10.800.844,64";
"11/2020";"20000 - Presidência da República";"20101 - Presidência da República";"60.332.631,59";"129.898.596,24";"114.821.338,05";"20.231.623,40";
"03/2020";"20000 - Presidência da República";"20101 - Presidência da República";"18.720.100,70";"82.873.395,56";"78.956.749,57";"37.389.104,77";
"05/2020";"20000 - Presidência da República";"20101 - Presidência da República";"14.546.750,42";"77.831.688,53";"79.170.579,72";"31.744.070,46";
"04/2020";"20000 - Presidência da República";"20101 - Presidência da República";"26.552.800,92";"76.332.999,56";"79.265.969,04";"15.185.032,09";
"08/2020";"20000 - Presidência da República";"20101 - Presidência da República";"32.063.540,44";"78.703.448,93";"79.844.868,21";"2.803.844,26";
"12/2020";"20000 - Presidência da República";"20101 - Presidência da República";"50.395.786,40";"134.640.519,56";"146.113.172,66";"4.406.662,98";
