"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"02/2019";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"3.056.371,84";"4.239.865,35";"3.899.624,21";"2.657.773,36";
"10/2019";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"4.302.986,71";"6.670.416,21";"6.808.083,81";"0,00";
"09/2019";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"585.175,24";"4.034.203,85";"4.419.321,65";"87.904,17";
"04/2019";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"9.849.794,46";"6.068.770,00";"6.126.081,59";"31.750,00";
"11/2019";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"2.753.470,60";"5.841.138,45";"5.280.986,45";"0,00";
"03/2019";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"1.394.378,31";"4.140.507,75";"3.938.030,76";"1.261.249,35";
"06/2019";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"3.273.854,41";"5.930.489,86";"5.886.701,74";"618.908,77";
"01/2019";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"32.369.042,28";"1.855.724,34";"419.058,19";"5.287.804,04";
"12/2019";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"7.376.987,06";"8.148.574,51";"8.361.359,05";"68.471,36";
"05/2019";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"10.566.458,88";"6.285.319,63";"6.342.018,22";"954.390,64";
"07/2019";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"2.104.421,21";"5.692.732,34";"5.807.330,66";"121.973,05";
"08/2019";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"2.397.337,20";"7.969.952,59";"6.779.457,34";"281.166,78";
"03/2019";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"413.362,34";"813.425,64";"874.471,31";"0,00";
"07/2019";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"607.082,19";"921.473,80";"1.102.453,34";"693,84";
"01/2019";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"196.844,01";"159.080,75";"88.924,68";"62.166,87";
"06/2019";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"1.106.652,66";"956.425,43";"816.153,94";"627,76";
"12/2019";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"- 2.096.152,97";"733.887,55";"823.583,68";"0,00";
"04/2019";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"7.044.182,29";"857.673,52";"860.601,17";"0,00";
"10/2019";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"118.240,04";"1.177.079,97";"1.176.012,85";"0,00";
"09/2019";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"1.154.865,41";"1.673.339,15";"1.682.604,48";"0,00";
"08/2019";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"491.562,11";"1.022.895,87";"1.026.749,91";"- 1.321,60";
"05/2019";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"1.410.869,84";"1.972.379,23";"1.889.855,86";"198,24";
"02/2019";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"1.645.919,64";"913.034,07";"519.924,65";"50.895,37";
"11/2019";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"669.319,80";"1.158.397,00";"992.975,15";"0,00";
"10/2019";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"371.685,46";"1.528.287,04";"1.524.707,32";"570.060,14";
"11/2019";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"768.196,98";"1.609.720,07";"1.766.759,09";"- 750,00";
"03/2019";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"- 92.541,65";"1.928.002,32";"1.742.486,78";"197.357,91";
"09/2019";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"2.040.280,81";"2.170.598,26";"2.218.150,04";"180.000,00";
"02/2019";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"136.131,41";"1.348.494,97";"1.336.558,43";"328.271,79";
"12/2019";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"5.377.053,52";"1.831.602,65";"1.654.279,48";"30.003,16";
"08/2019";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"- 45.393,74";"2.095.230,70";"2.067.212,42";"0,00";
"05/2019";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"- 243.967,19";"1.597.963,42";"1.395.721,72";"0,00";
"06/2019";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"405.174,74";"2.060.521,51";"1.980.263,12";"360.000,00";
"07/2019";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"388.735,30";"1.746.775,79";"1.799.162,07";"180.000,00";
"04/2019";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"9.291.244,89";"1.400.403,11";"1.584.497,33";"720.000,00";
"01/2019";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"9.265.483,01";"252.193,56";"73.863,00";"1.387.113,06";
"06/2019";"20000 - Presidência da República";"20101 - Presidência da República";"38.878.062,46";"103.896.374,61";"84.641.113,53";"70.645.819,01";
"07/2019";"20000 - Presidência da República";"20101 - Presidência da República";"53.301.554,77";"99.518.813,89";"115.975.514,51";"105.245.158,92";
"01/2019";"20000 - Presidência da República";"20101 - Presidência da República";"644.365.622,34";"58.627.401,33";"20.245.552,51";"148.898.415,57";
"11/2019";"20000 - Presidência da República";"20101 - Presidência da República";"66.538.880,38";"132.964.478,19";"97.721.740,41";"76.190.494,21";
"10/2019";"20000 - Presidência da República";"20101 - Presidência da República";"62.877.026,21";"92.933.169,58";"106.179.729,57";"112.442.896,32";
"02/2019";"20000 - Presidência da República";"20101 - Presidência da República";"56.793.580,70";"67.318.720,27";"61.928.179,93";"163.254.586,95";
"08/2019";"20000 - Presidência da República";"20101 - Presidência da República";"116.606.741,74";"97.600.343,06";"103.708.385,22";"71.587.416,19";
