"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"07/2022";"20000 - Presidência da República";"20101 - Presidência da República";"39.409.312,81";"93.325.040,42";"112.318.311,28";"1.201.605,88";
"01/2022";"20000 - Presidência da República";"20101 - Presidência da República";"534.406.156,15";"68.666.779,07";"25.499.702,12";"59.799.208,44";
"03/2022";"20000 - Presidência da República";"20101 - Presidência da República";"13.443.171,75";"83.402.173,66";"80.949.545,93";"6.040.777,31";
"02/2022";"20000 - Presidência da República";"20101 - Presidência da República";"336.786.522,20";"77.258.775,70";"73.393.431,46";"14.576.486,96";
"10/2022";"20000 - Presidência da República";"20101 - Presidência da República";"14.808.405,09";"91.172.438,27";"85.325.791,69";"1.314.696,09";
"09/2022";"20000 - Presidência da República";"20101 - Presidência da República";"13.881.875,01";"96.605.309,72";"99.875.056,28";"560.722,54";
"04/2022";"20000 - Presidência da República";"20101 - Presidência da República";"68.463.059,61";"82.833.316,00";"85.481.559,81";"10.936.361,15";
"12/2022";"20000 - Presidência da República";"20101 - Presidência da República";"28.319.404,83";"91.309.574,68";"96.711.826,33";"102.190,98";
"05/2022";"20000 - Presidência da República";"20101 - Presidência da República";"46.218.226,30";"89.726.282,06";"89.957.093,49";"3.748.715,15";
"06/2022";"20000 - Presidência da República";"20101 - Presidência da República";"21.583.793,00";"112.807.921,68";"92.794.256,84";"5.567.609,14";
"11/2022";"20000 - Presidência da República";"20101 - Presidência da República";"21.008.168,08";"118.642.011,64";"102.721.873,13";"1.556.001,80";
"08/2022";"20000 - Presidência da República";"20101 - Presidência da República";"22.069.710,07";"97.530.546,65";"97.976.803,92";"5.462.586,88";
